ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
Property,GrazingPermitsBlmYN,Grazing Permits BLM Yes/No,Specifies whether or not the property owner has grazing permits from the Bureau of Land Management.,Farming,Boolean,,,,,,Permisos de Pastoreo BLM SN,Active,b209346,100290,,,No,FARM,,2014-07-03,2013-11-21,,GrazingPermitsBlmYN Field,https://ddwiki.reso.org/display/DDW17/GrazingPermitsBlmYN+Field,1130241,,,
Property,GrazingPermitsForestServiceYN,Grazing Permits Forest Service Yes/No,Specifies whether or not the property owner has grazing permits from the Forestry Service.,Farming,Boolean,,,,,,Permisos de Pastoreo Servicio Forestal SN,Active,feae3cb,100291,,,No,FARM,,2014-07-03,2013-11-21,,GrazingPermitsForestServiceYN Field,https://ddwiki.reso.org/display/DDW17/GrazingPermitsForestServiceYN+Field,1130246,,,
Property,GrazingPermitsPrivateYN,Grazing Permits Private Yes/No,Specifies whether or not the property owner has private grazing permits.,Farming,Boolean,,,,,,Permisos de Pastoreo Privado SN,Active,5b07360,100292,,,No,FARM,,2014-07-03,2013-11-21,,GrazingPermitsPrivateYN Field,https://ddwiki.reso.org/display/DDW17/GrazingPermitsPrivateYN+Field,1130252,,,
Property,GreenBuildingVerificationType,Green Building Verification Type,"The name of the verification or certification awarded to a new or pre-existing residential or commercial structure. For example: LEED, Energy Star, ICC-700. In cases where more than one certification have been awarded, leverage multiple iterations of the green verification fields via the repeating element method.","Structure,Performance,GreenVerification","String List, Multi",,1024,,"GreenBuildingCertification, GreenBuildingVerification, GreenBuildingRating",,Tipo de Verificación de Edificio Verde,Active,3e2b9eb,100334,Open with Enumerations,GreenBuildingVerificationType,Yes,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,GreenBuildingVerificationType Field,https://ddwiki.reso.org/display/DDW17/GreenBuildingVerificationType+Field,1130300,,,
Property,GreenEnergyEfficient,Green Energy Efficient,"Pick list of general green attributes such as energy efficient doors, or appliances without naming specific elements with ratings that may wane over time.","Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Energía Verde Eficiente,Active,0a0a3f0,100372,Open with Enumerations,GreenEnergyEfficient,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenEnergyEfficient Field,https://ddwiki.reso.org/display/DDW17/GreenEnergyEfficient+Field,1130313,,,
Property,GreenEnergyGeneration,Green Energy Generation,Methods of generating power that are included in the sale or lease.,"Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Generación de Energía Verde,Active,f7f72d9,100373,Open with Enumerations,GreenEnergyGeneration,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenEnergyGeneration Field,https://ddwiki.reso.org/display/DDW17/GreenEnergyGeneration+Field,1130320,,,Energy Generation Technology = [value]
Property,GreenIndoorAirQuality,Green Indoor Air Quality,Pick list of indoor air quality measures without naming specific elements with ratings that may wane over time.,"Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Calidad de Aire Interior Verde,Active,5ac0d4a,100376,Open with Enumerations,GreenIndoorAirQuality,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenIndoorAirQuality Field,https://ddwiki.reso.org/display/DDW17/GreenIndoorAirQuality+Field,1130326,,,
Property,GreenLocation,Green Location,Pick list describing efficiencies involved with the property's location such as walkability or transportation proximity without naming specific elements with ratings that may wane over time.,"Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Ubicación Verde,Active,abc6398,100377,Open,GreenLocation,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenLocation Field,https://ddwiki.reso.org/display/DDW17/GreenLocation+Field,1130332,,,
Property,GreenSustainability,Green Sustainability,Pick list of sustainable elements used in the construction of the structure without naming specific elements with ratings that may wane over time.,"Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Sostenibilidad Verde,Active,ebbf367,100374,Open with Enumerations,GreenSustainability,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenSustainability Field,https://ddwiki.reso.org/display/DDW17/GreenSustainability+Field,1130339,,,
Property,GreenWaterConservation,Green Water Conservation,Pick list of general water conserving attributes of the property such as landscaping or reclamation without naming specific elements with ratings that may wane over time.,"Structure,Performance,GreenMarketing","String List, Multi",,1024,,,,Conservación Ecológica de Agua,Active,f890752,100375,Open with Enumerations,GreenWaterConservation,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2018-12-26,2018-12-05,,GreenWaterConservation Field,https://ddwiki.reso.org/display/DDW17/GreenWaterConservation+Field,1130347,,,
Property,GrossIncome,Gross Income,The actual current income from rent and all other revenue generating sources.,Financial,Number,,14,2,"Current Income, Actual Income",,Ingreso Bruto,Active,93af386,100880,,,No,"RINC,COMS,COML,BUSO",,2014-07-03,2013-12-04,,GrossIncome Field,https://ddwiki.reso.org/display/DDW17/GrossIncome+Field,1130030,,,
Property,GrossScheduledIncome,Gross Scheduled Income,The maximum amount of annual rent collected if the property were 100% occupied all year and all tenants paid their rent.,Financial,Number,,14,2,Proforma Income,,Ingreso Bruto Programado,Active,11607e7,100250,,,No,"RINC,COMS,COML,BUSO",,2011-11-09,2012-04-20,,GrossScheduledIncome Field,https://ddwiki.reso.org/display/DDW17/GrossScheduledIncome+Field,1130036,,,
Property,HabitableResidenceYN,Habitable Residence Yes/No,Does the property include a structure that can be lived in.,Structure,Boolean,,,,,,Residencia Habitable SN,Active,c18c1f8,100378,,,No,FARM,,2014-07-03,2013-11-21,,HabitableResidenceYN Field,https://ddwiki.reso.org/display/DDW17/HabitableResidenceYN+Field,1130128,,,
Property,Heating,Heating,A list describing the heating features of the property.,Structure,"String List, Multi",,1024,,,,Calefacción,Active,a9490d6,100340,Open with Enumerations,Heating,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,Heating Field,https://ddwiki.reso.org/display/DDW17/Heating+Field,1130134,,,Heating Type = [value]
Property,HeatingYN,Heating Yes/No,The property has heating.,Structure,Boolean,,,,,,Calefacción SN,Active,7f9bcb9,100815,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,HeatingYN Field,https://ddwiki.reso.org/display/DDW17/HeatingYN+Field,1130140,,,"Conditioning Status = ""Heated"""
